"City","Latitude","Longitude","Crime_Type","Year","Count"
"Mukkam","11.3166","75.9497","Dowry Deaths(304(B) IPC)","2014","0"
"Mukkam","11.3166","75.9497","Dowry Deaths(304(B) IPC)","2015","0"
"Mukkam","11.3166","75.9497","Dowry Deaths(304(B) IPC)","2016","0"
"Mukkam","11.3166","75.9497","Dowry Deaths(304(B) IPC)","2017","0"
"Mukkam","11.3166","75.9497","Dowry Deaths(304(B) IPC)","2018","0"
"Mukkam","11.3166","75.9497","Dowry Deaths(304(B) IPC)","2019","0"
"Mukkam","11.3166","75.9497","Dowry Deaths(304(B) IPC)","2020","0"
"Mukkam","11.3166","75.9497","Dowry Deaths(304(B) IPC)","2021","0"
"Mukkam","11.3166","75.9497","Dowry Deaths(304(B) IPC)","2022","0"
"Mukkam","11.3166","75.9497","Dowry Deaths(304(B) IPC)","2023","0"
"Mukkam","11.3166","75.9497","Dowry Deaths(304(B) IPC)","2024","0"
"Mukkam","11.3166","75.9497","Dowry Deaths(304(B) IPC)","2025","0"
"Mukkam","11.3166","75.9497","Rape","2014","3"
"Mukkam","11.3166","75.9497","Rape","2015","9"
"Mukkam","11.3166","75.9497","Rape","2016","7"
"Mukkam","11.3166","75.9497","Rape","2017","3"
"Mukkam","11.3166","75.9497","Rape","2018","3"
"Mukkam","11.3166","75.9497","Rape","2019","3"
"Mukkam","11.3166","75.9497","Rape","2020","12"
"Mukkam","11.3166","75.9497","Rape","2021","14"
"Mukkam","11.3166","75.9497","Rape","2022","3"
"Mukkam","11.3166","75.9497","Rape","2023","2"
"Mukkam","11.3166","75.9497","Rape","2024","0"
"Mukkam","11.3166","75.9497","Rape","2025","6"
"Mukkam","11.3166","75.9497","Attempt to commit murder","2014","3"
"Mukkam","11.3166","75.9497","Attempt to commit murder","2015","1"
"Mukkam","11.3166","75.9497","Attempt to commit murder","2016","2"
"Mukkam","11.3166","75.9497","Attempt to commit murder","2017","2"
"Mukkam","11.3166","75.9497","Attempt to commit murder","2018","2"
"Mukkam","11.3166","75.9497","Attempt to commit murder","2019","3"
"Mukkam","11.3166","75.9497","Attempt to commit murder","2020","1"
"Mukkam","11.3166","75.9497","Attempt to commit murder","2021","2"
"Mukkam","11.3166","75.9497","Attempt to commit murder","2022","0"
"Mukkam","11.3166","75.9497","Attempt to commit murder","2023","2"
"Mukkam","11.3166","75.9497","Attempt to commit murder","2024","0"
"Mukkam","11.3166","75.9497","Attempt to commit murder","2025","3"
"Mukkam","11.3166","75.9497","Cruelty by husband or relatives","2014","20"
"Mukkam","11.3166","75.9497","Cruelty by husband or relatives","2015","12"
"Mukkam","11.3166","75.9497","Cruelty by husband or relatives","2016","17"
"Mukkam","11.3166","75.9497","Cruelty by husband or relatives","2017","9"
"Mukkam","11.3166","75.9497","Cruelty by husband or relatives","2018","4"
"Mukkam","11.3166","75.9497","Cruelty by husband or relatives","2019","9"
"Mukkam","11.3166","75.9497","Cruelty by husband or relatives","2020","0"
"Mukkam","11.3166","75.9497","Cruelty by husband or relatives","2021","3"
"Mukkam","11.3166","75.9497","Cruelty by husband or relatives","2022","6"
"Mukkam","11.3166","75.9497","Cruelty by husband or relatives","2023","23"
"Mukkam","11.3166","75.9497","Cruelty by husband or relatives","2024","0"
"Mukkam","11.3166","75.9497","Cruelty by husband or relatives","2025","20"
"Mukkam","11.3166","75.9497","Murder","2014","1"
"Mukkam","11.3166","75.9497","Murder","2015","1"
"Mukkam","11.3166","75.9497","Murder","2016","1"
"Mukkam","11.3166","75.9497","Murder","2017","0"
"Mukkam","11.3166","75.9497","Murder","2018","0"
"Mukkam","11.3166","75.9497","Murder","2019","0"
"Mukkam","11.3166","75.9497","Murder","2020","0"
"Mukkam","11.3166","75.9497","Murder","2021","1"
"Mukkam","11.3166","75.9497","Murder","2022","0"
"Mukkam","11.3166","75.9497","Murder","2023","0"
"Mukkam","11.3166","75.9497","Murder","2024","0"
"Mukkam","11.3166","75.9497","Murder","2025","0"
"Mukkam","11.3166","75.9497","Kidnapping & abduction - of women & girls","2014","0"
"Mukkam","11.3166","75.9497","Kidnapping & abduction - of women & girls","2015","0"
"Mukkam","11.3166","75.9497","Kidnapping & abduction - of women & girls","2016","1"
"Mukkam","11.3166","75.9497","Kidnapping & abduction - of women & girls","2017","0"
"Mukkam","11.3166","75.9497","Kidnapping & abduction - of women & girls","2018","0"
"Mukkam","11.3166","75.9497","Kidnapping & abduction - of women & girls","2019","0"
"Mukkam","11.3166","75.9497","Kidnapping & abduction - of women & girls","2020","0"
"Mukkam","11.3166","75.9497","Kidnapping & abduction - of women & girls","2021","0"
"Mukkam","11.3166","75.9497","Kidnapping & abduction - of women & girls","2022","0"
"Mukkam","11.3166","75.9497","Kidnapping & abduction - of women & girls","2023","0"
"Mukkam","11.3166","75.9497","Kidnapping & abduction - of women & girls","2024","0"
"Mukkam","11.3166","75.9497","Kidnapping & abduction - of women & girls","2025","0"
"Mukkam","11.3166","75.9497","Sexual harassment","2014","0"
"Mukkam","11.3166","75.9497","Sexual harassment","2015","0"
"Mukkam","11.3166","75.9497","Sexual harassment","2016","3"
"Mukkam","11.3166","75.9497","Sexual harassment","2017","1"
"Mukkam","11.3166","75.9497","Sexual harassment","2018","0"
"Mukkam","11.3166","75.9497","Sexual harassment","2019","1"
"Mukkam","11.3166","75.9497","Sexual harassment","2020","0"
"Mukkam","11.3166","75.9497","Sexual harassment","2021","0"
"Mukkam","11.3166","75.9497","Sexual harassment","2022","1"
"Mukkam","11.3166","75.9497","Sexual harassment","2023","0"
"Mukkam","11.3166","75.9497","Sexual harassment","2024","0"
"Mukkam","11.3166","75.9497","Sexual harassment","2025","0"
"Mukkam","11.3166","75.9497","Molestation","2014","5"
"Mukkam","11.3166","75.9497","Molestation","2015","11"
"Mukkam","11.3166","75.9497","Molestation","2016","12"
"Mukkam","11.3166","75.9497","Molestation","2017","5"
"Mukkam","11.3166","75.9497","Molestation","2018","4"
"Mukkam","11.3166","75.9497","Molestation","2019","7"
"Mukkam","11.3166","75.9497","Molestation","2020","0"
"Mukkam","11.3166","75.9497","Molestation","2021","8"
"Mukkam","11.3166","75.9497","Molestation","2022","12"
